Model,ROC_AUC,Accuracy@0.5,F1@0.5
XGB,0.951830522796576,0.8807619943555973,0.8552669140736512
LGB,0.9515639351188508,0.8828786453433678,0.8580387685290763
CAT,0.9504176769903376,0.8784101599247413,0.8529160739687055
GBDT,0.9441370228516844,0.8831138287864534,0.8588469184890656
RF,0.9384354678717072,0.8694731890874883,0.8436179205409975
DT,0.8936439160145486,0.8196142991533396,0.7821641579096847
LR,0.8330335657077778,0.7551740357478833,0.7200860446356547
SVM,0.8288656361365223,0.7556444026340545,0.6144712430426716
MLP,0.7304698693927036,0.6425211665098777,0.6446937821411874
NB,0.6719047356625887,0.49764816556914393,0.6063398451898268
